Nome;N� mecanografico;Email;C�digo da UC;Unidade Curricular;G�nero;Regimes especiais de frequ�ncia;Ano Curricular 
Richard Taylor;200025;a200025@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;EINT;3
Sara Cardoso;200026;a200026@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
João Ferreira;200027;a200027@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Patrick Wilson;200028;a200028@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;EINT;3
Filipe Oliveira;200029;a200029@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Carlos Mendes;200030;a200030@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Tiago Sousa;200031;a200031@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Luis Almeida;200032;a200032@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Chris Evans;200033;a200033@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;EINT;3
Bruno Nogueira;200034;a200034@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Maria Antunes;200035;a200035@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
João Pinto;200036;a200036@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Marco Lima;200037;a200037@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Leonardo Martins;200038;a200038@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Edward Carter;200039;a200039@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;EINT;2
Sophia Rodriguez;200040;a200040@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;EINT;3
Victor Ferreira;200041;a200041@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Francisco Araujo;200042;a200042@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Rafael Teixeira;200043;a200043@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Tomás Marques;200044;a200044@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Miguel Silva;200045;a200045@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Matthew Johnson;200046;a200046@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;EINT;2
Helena Ramos;200047;a200047@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
Jorge Cunha;200048;a200048@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Gabriel Duarte;200049;a200049@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Roberto Matos;200050;a200050@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Diogo Martins;200051;a200051@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Carlos Lima;200052;a200052@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Pedro Moreira;200053;a200053@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Nuno Vieira;200054;a200054@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Miguel Correia;200055;a200055@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Ricardo Monteiro;200056;a200056@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Diana Costa;200057;a200057@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Jessica Taylor;200058;a200058@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;EINT;2
André Figueiredo;200059;a200059@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Fernando Sousa;200060;a200060@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Patrícia Almeida;200061;a200061@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Joana Torres;200062;a200062@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
Ethan Campbell;200063;a200063@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;EINT;3
Leonor Carvalho;200064;a200064@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
Paulo Matias;200065;a200065@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Rui Oliveira;200066;a200066@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Lucas Barbosa;200067;a200067@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Hugo Monteiro;200068;a200068@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Gabriel Santos;200069;a200069@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Tomás Xavier;200070;a200070@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Diego Martinez;200071;a200071@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;EINT;3
Alex Silva;200072;a200072@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Clara Fonseca;200073;a200073@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Mateus Braga;200074;a200074@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Bruno Ferreira;200075;a200075@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Nathan Collins;200076;a200076@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;EINT;2
Vanessa Simões;200077;a200077@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Beatriz Figueiredo;200078;a200078@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
João Andrade;200079;a200079@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Eduardo Lopes;200080;a200080@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Diogo Martins;200051;a200051@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Carlos Lima;200052;a200052@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Pedro Moreira;200053;a200053@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Nuno Vieira;200054;a200054@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Miguel Correia;200055;a200055@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Ricardo Monteiro;200056;a200056@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Diana Costa;200057;a200057@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Jessica Taylor;200058;a200058@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;EINT;2
André Figueiredo;200059;a200059@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Fernando Sousa;200060;a200060@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Patrícia Almeida;200061;a200061@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Joana Torres;200062;a200062@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
Ethan Campbell;200063;a200063@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;EINT;3
Leonor Carvalho;200064;a200064@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
Paulo Matias;200065;a200065@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Rui Oliveira;200066;a200066@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Lucas Barbosa;200067;a200067@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Hugo Monteiro;200068;a200068@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Gabriel Santos;200069;a200069@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Tomás Xavier;200070;a200070@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Diego Martinez;200071;a200071@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;EINT;3
Alex Silva;200072;a200072@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Clara Fonseca;200073;a200073@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Mateus Braga;200074;a200074@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Bruno Ferreira;200075;a200075@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Nathan Collins;200076;a200076@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;EINT;2
Vanessa Simões;200077;a200077@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;F;;3
Beatriz Figueiredo;200078;a200078@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;F;;2
João Andrade;200079;a200079@alunos.uminho.pt;J305N2;Desenvolvimento de Sistemas de Software;M;;3
Eduardo Lopes;200080;a200080@alunos.uminho.pt;J304N3;Programação Orientada a Objetos;M;;2
Diogo Martins;200051;a200051@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Carlos Lima;200052;a200052@alunos.uminho.pt;J304N4;Base de Dados;M;;2
Pedro Moreira;200053;a200053@alunos.uminho.pt;J305N2;Programação Funcional;M;;3
Nuno Vieira;200054;a200054@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Miguel Correia;200055;a200055@alunos.uminho.pt;J304N2;Base de Dados;M;;2
Ricardo Monteiro;200056;a200056@alunos.uminho.pt;J301N1;Programação Funcional;M;;1
Diana Costa;200057;a200057@alunos.uminho.pt;J305N3;Cálculo de Programas;F;;3
Jessica Taylor;200058;a200058@alunos.uminho.pt;J304N4;Base de Dados;F;EINT;2
André Figueiredo;200059;a200059@alunos.uminho.pt;J305N2;Programação Funcional;M;;3
Fernando Sousa;200060;a200060@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Patrícia Almeida;200061;a200061@alunos.uminho.pt;J304N2;Base de Dados;F;;2
Joana Torres;200062;a200062@alunos.uminho.pt;J301N1;Programação Funcional;F;;1
Ethan Campbell;200063;a200063@alunos.uminho.pt;J305N3;Cálculo de Programas;M;EINT;3
Leonor Carvalho;200064;a200064@alunos.uminho.pt;J304N4;Base de Dados;F;;2
Paulo Matias;200065;a200065@alunos.uminho.pt;J305N2;Programação Funcional;M;;3
Rui Oliveira;200066;a200066@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Lucas Barbosa;200067;a200067@alunos.uminho.pt;J304N2;Base de Dados;M;;2
Hugo Monteiro;200068;a200068@alunos.uminho.pt;J301N1;Programação Funcional;M;;1
Gabriel Santos;200069;a200069@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Tomás Xavier;200070;a200070@alunos.uminho.pt;J304N4;Base de Dados;M;;2
Diego Martinez;200071;a200071@alunos.uminho.pt;J305N2;Programação Funcional;M;EINT;3
Alex Silva;200072;a200072@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Clara Fonseca;200073;a200073@alunos.uminho.pt;J304N2;Base de Dados;F;;2
Mateus Braga;200074;a200074@alunos.uminho.pt;J301N1;Programação Funcional;M;;1
Bruno Ferreira;200075;a200075@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Nathan Collins;200076;a200076@alunos.uminho.pt;J304N4;Base de Dados;M;EINT;2
Vanessa Simões;200077;a200077@alunos.uminho.pt;J305N2;Programação Funcional;F;;3
Beatriz Figueiredo;200078;a200078@alunos.uminho.pt;J305N3;Cálculo de Programas;F;;3
João Andrade;200079;a200079@alunos.uminho.pt;J304N2;Base de Dados;M;;2
Eduardo Lopes;200080;a200080@alunos.uminho.pt;J301N1;Programação Funcional;M;;1
Gabriel Alves;200081;a200081@alunos.uminho.pt;J301N1;Programação Funcional;M;;1
João Pires;200082;a200082@alunos.uminho.pt;J302N1;Programação Imperativa;M;;1
Sara Ribeiro;200083;a200083@alunos.uminho.pt;J304N2;Base de Dados;F;;2
Henrique Castro;200084;a200084@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Beatriz Nogueira;200085;a200085@alunos.uminho.pt;J301N1;Programação Funcional;F;;1
Lucas Teixeira;200086;a200086@alunos.uminho.pt;J302N1;Programação Imperativa;M;;1
Isabela Santos;200087;a200087@alunos.uminho.pt;J304N2;Base de Dados;F;;2
André Neves;200088;a200088@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Tiago Matos;200089;a200089@alunos.uminho.pt;J301N1;Programação Funcional;M;;1
Pedro Carvalho;200090;a200090@alunos.uminho.pt;J302N1;Programação Imperativa;M;;1
Rafael Lopes;200091;a200091@alunos.uminho.pt;J304N2;Base de Dados;M;;2
Cláudia Ferreira;200092;a200092@alunos.uminho.pt;J305N3;Cálculo de Programas;F;;3
Mariana Oliveira;200093;a200093@alunos.uminho.pt;J301N1;Programação Funcional;F;;1
Eduardo Correia;200094;a200094@alunos.uminho.pt;J302N1;Programação Imperativa;M;;1
Leonor Marques;200095;a200095@alunos.uminho.pt;J304N2;Base de Dados;F;;2
Ricardo Silva;200096;a200096@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Vanessa Araújo;200097;a200097@alunos.uminho.pt;J301N1;Programação Funcional;F;;1
Lara Barros;200098;a200098@alunos.uminho.pt;J302N1;Programação Imperativa;F;;1
Aline Costa;200099;a200099@alunos.uminho.pt;J304N2;Base de Dados;F;;2
Filipe Pereira;200100;a200100@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Davi Xavier;200101;a200101@alunos.uminho.pt;J301N1;Programação Funcional;M;;1
Melissa Lima;200102;a200102@alunos.uminho.pt;J302N1;Programação Imperativa;F;;1
Bruno Almeida;200103;a200103@alunos.uminho.pt;J304N2;Base de Dados;M;;2
Luís Fernandes;200104;a200104@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Fernando Ribeiro;200105;a200105@alunos.uminho.pt;J301N1;Programação Funcional;M;;1
Sofia Oliveira;200106;a200106@alunos.uminho.pt;J302N1;Programação Imperativa;F;;1
Matheus Andrade;200107;a200107@alunos.uminho.pt;J304N2;Base de Dados;M;;2
Tiago Costa;200108;a200108@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Alice Fernandes;200109;a200109@alunos.uminho.pt;J301N1;Programação Funcional;F;;1
Joana Barbosa;200110;a200110@alunos.uminho.pt;J302N1;Programação Imperativa;F;;1
Rodrigo Mendes;200111;a200111@alunos.uminho.pt;J304N2;Base de Dados;M;;2
Gustavo Torres;200112;a200112@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Felipe Gomes;200113;a200113@alunos.uminho.pt;J301N1;Programação Funcional;M;;1
Sérgio Almeida;200114;a200114@alunos.uminho.pt;J302N1;Programação Imperativa;M;;1
Marina Silva;200115;a200115@alunos.uminho.pt;J304N2;Base de Dados;F;;2
António Pereira;200116;a200116@alunos.uminho.pt;J305N3;Cálculo de Programas;M;;3
Camila Nunes;200117;a200117@alunos.uminho.pt;J301N1;Programação Funcional;M;;1
